Lines Encoded,Runtime
100,0.03250598907470703
1000,0.031999826431274414
2000,0.041002511978149414
3000,0.048506736755371094
4000,0.05600333213806152
5000,0.06520628929138184
6000,0.07252311706542969
7000,0.0825045108795166
8000,0.08934807777404785
9000,0.10035061836242676
10000,0.10250663757324219
