Lines Decoded,Runtime
100,0.010998725891113281
1000,0.012002229690551758
2000,0.020506858825683594
3000,0.028998613357543945
4000,0.037000417709350586
5000,0.045538902282714844
6000,0.05500006675720215
7000,0.06250739097595215
8000,0.07050943374633789
9000,0.08208775520324707
10000,0.09151268005371094
